GDP_per_Capita,Social_Support,Healthy_Life_Expectancy,Freedom,Generosity,Corruption_Perception,Unemployment_Rate,Education_Index,Population,Urbanization_Rate,Life_Satisfaction,Public_Trust,Mental_Health_Index,Income_Inequality,Public_Health_Expenditure,Climate_Index,Work_Life_Balance,Internet_Access,Crime_Rate,Political_Stability,Employment_Rate
35289.94,0.9,63.8,0.71,-0.17,0.35,5.61,0.67,464868606,49.61,6.36,0.02,70.03,24.77,7.91,30.3,8.37,81.83,35.25,0.22,53.17
27557.33,0.66,68.72,0.54,-0.05,0.51,18.66,0.83,1156676947,64.99,4.35,0.83,88.18,40.04,7.8,60.33,7.37,44.75,60.4,0.93,51.32
17017.57,0.16,55.16,0.73,0.18,0.6,16.6,0.79,45969993,35.15,7.43,0.21,77.57,46.37,9.94,96.31,8.78,88.46,23.9,0.66,66.79
20091.08,0.73,59.86,0.29,0.23,0.72,9.24,0.71,60283809,59.53,8.56,0.91,43.42,38.43,6.67,33.07,3.96,60.3,45.45,0.69,57.0
10064.26,0.77,54.06,0.62,0.17,0.43,8.07,0.82,1461068877,55.03,6.22,0.83,67.08,29.35,4.81,73.29,3.9,59.78,72.78,0.49,83.62
34814.55,0.61,83.19,0.56,-0.09,0.79,18.44,0.62,1052768927,89.22,4.35,0.56,59.99,37.89,4.69,76.71,8.09,50.15,52.06,0.05,60.52
12057.27,0.95,69.99,0.02,-0.01,0.89,6.67,0.94,492624841,37.66,7.47,0.47,92.95,24.29,5.96,58.96,7.44,54.47,15.98,0.89,75.47
21030.14,0.14,65.26,0.37,-0.04,0.79,13.85,0.92,985816910,69.29,6.49,0.44,56.65,37.1,3.72,61.91,4.17,53.59,22.54,0.95,63.06
33316.65,0.94,52.05,0.9,0.14,0.58,17.85,0.9,52715996,53.15,7.53,0.88,50.5,41.02,9.23,76.8,8.18,81.89,50.59,0.69,73.07
1252.62,0.7,71.53,0.95,-0.05,0.65,12.27,0.83,563292622,84.33,4.48,0.12,62.94,27.58,7.92,60.62,6.06,62.59,35.64,0.75,61.83
