GDP_per_Capita,Healthy_Life_Expectancy,Freedom,Generosity,Unemployment_Rate,Education_Index,Population,Life_Satisfaction,Public_Trust,Mental_Health_Index,Income_Inequality,Public_Health_Expenditure,Political_Stability
35289.94,63.8,0.71,-0.17,5.61,0.67,464868606,6.36,0.02,70.03,24.77,7.91,0.22
27557.33,68.72,0.54,-0.05,18.66,0.83,1156676947,4.35,0.83,88.18,40.04,7.8,0.93
17017.57,55.16,0.73,0.18,16.6,0.79,45969993,7.43,0.21,77.57,46.37,9.94,0.66
20091.08,59.86,0.29,0.23,9.24,0.71,60283809,8.56,0.91,43.42,38.43,6.67,0.69
10064.26,54.06,0.62,0.17,8.07,0.82,1461068877,6.22,0.83,67.08,29.35,4.81,0.49
34814.55,83.19,0.56,-0.09,18.44,0.62,1052768927,4.35,0.56,59.99,37.89,4.69,0.05
12057.27,69.99,0.02,-0.01,6.67,0.94,492624841,7.47,0.47,92.95,24.29,5.96,0.89
21030.14,65.26,0.37,-0.04,13.85,0.92,985816910,6.49,0.44,56.65,37.1,3.72,0.95
33316.65,52.05,0.9,0.14,17.85,0.9,52715996,7.53,0.88,50.5,41.02,9.23,0.69
1252.62,71.53,0.95,-0.05,12.27,0.83,563292622,4.48,0.12,62.94,27.58,7.92,0.75
24399.92,64.57,0.38,-0.01,9.64,0.8,306170585,7.26,0.67,42.12,51.63,3.29,0.65
50762.99,62.83,0.56,0.24,8.82,0.83,164136089,8.4,1.0,68.99,34.94,5.58,0.29
45574.18,50.45,0.55,0.26,17.52,0.9,1439232449,6.41,0.84,74.29,53.37,8.53,0.42
45776.98,80.88,0.81,0.11,16.46,0.68,1059144927,7.08,0.82,91.7,53.05,7.68,0.91
31580.59,50.82,0.64,-0.17,4.45,0.97,197759195,8.84,0.15,54.29,56.43,7.83,0.8
58151.11,70.06,0.6,-0.15,7.67,0.51,1158775488,5.28,0.42,69.03,45.06,3.34,0.72
50861.33,79.64,0.47,-0.15,6.61,0.65,747324273,4.15,0.15,47.98,52.79,8.1,0.38
29870.52,58.06,0.9,0.24,15.24,0.8,459768720,8.31,0.29,52.7,39.46,3.74,0.41
24520.9,61.26,0.47,0.02,16.13,0.92,1039568362,7.59,0.93,53.88,30.15,8.39,0.67
18247.44,72.02,0.3,0.33,4.01,0.81,1066463337,6.83,0.88,61.23,57.72,3.71,0.21
22440.16,59.71,0.38,0.07,17.88,0.67,1276385526,7.4,0.57,53.7,50.17,5.9,0.01
14631.13,63.08,0.71,0.41,15.29,0.86,1327938153,6.22,0.09,93.89,25.98,6.2,0.19
7094.73,76.4,0.19,-0.18,5.48,0.82,1117990355,6.52,1.0,64.17,30.91,4.38,0.22
45968.1,79.26,0.66,0.13,17.58,0.97,207435272,8.69,0.96,79.02,50.8,6.18,0.35
3102.16,81.46,0.07,-0.11,10.44,0.52,784759254,4.6,0.89,99.42,29.54,2.37,0.0
5189.4,56.68,0.72,0.43,13.42,0.95,1313145547,8.33,0.02,82.3,37.29,8.37,0.62
30005.19,52.64,0.26,-0.15,19.81,0.99,389722720,6.96,0.58,65.44,38.86,7.13,0.77
20626.62,73.32,0.05,0.49,2.93,0.64,505585251,8.59,0.0,80.34,23.37,6.25,0.69
1725.15,84.68,0.9,0.36,8.45,0.74,992725579,8.25,0.59,75.08,46.08,2.04,0.67
21233.17,84.79,0.86,0.43,5.09,0.8,678483966,7.73,0.42,61.54,24.57,2.68,0.04
31867.5,80.4,0.19,0.17,18.25,0.57,609494008,5.73,0.07,45.28,33.6,8.91,0.18
19707.35,50.91,0.96,0.34,8.26,0.92,705259481,4.89,0.09,62.8,27.79,3.76,0.42
27395.41,83.78,0.47,0.49,17.6,0.76,300653667,4.85,0.62,88.93,42.07,2.58,0.56
9816.48,64.83,0.02,-0.16,11.11,0.8,820972094,6.83,0.52,73.6,41.21,2.09,0.55
32458.84,61.15,0.29,0.41,18.72,0.75,1489219288,7.73,0.33,46.98,24.91,4.34,0.69
1359.16,73.68,0.8,0.07,15.5,0.75,773849762,5.24,0.32,43.79,26.28,8.94,0.96
42883.83,73.09,0.63,0.06,16.61,0.82,612031797,7.48,0.11,69.94,55.64,4.67,0.0
6738.0,82.87,0.04,0.14,9.47,0.94,119062542,4.26,0.76,99.73,56.69,8.59,0.64
21293.68,81.96,0.33,0.34,11.28,0.54,1422306054,5.56,0.36,69.6,56.53,7.72,0.12
52353.91,64.32,0.29,0.4,11.56,0.66,1207326799,8.26,0.43,50.71,43.67,7.1,0.24
35954.28,77.12,0.91,0.3,3.19,0.5,435791886,4.98,0.35,50.63,22.99,9.54,0.29
29419.26,63.72,0.6,0.12,5.26,0.56,941803701,5.83,0.31,51.04,55.93,4.33,0.59
9893.21,53.79,0.41,0.38,2.03,0.8,1435993623,6.98,0.41,79.01,52.8,8.91,0.07
31345.26,57.81,0.65,0.29,10.42,0.7,434976140,6.47,0.86,85.78,50.88,9.75,0.86
15541.13,66.12,0.23,0.35,16.24,0.93,929210333,6.05,0.82,93.04,34.78,8.22,0.37
27533.91,83.4,0.0,0.27,2.49,0.65,520489023,4.64,0.1,49.14,40.62,3.38,0.56
37126.49,56.07,0.46,0.32,12.54,0.91,817292082,5.77,0.4,50.24,43.91,7.2,0.99
24253.86,50.35,0.52,0.33,16.29,0.85,1201741602,7.67,0.52,52.67,48.55,9.34,0.13
10945.58,63.26,0.5,0.3,18.58,0.94,1248112622,8.4,0.23,88.64,28.0,6.95,0.68
13842.29,59.05,0.58,0.1,6.41,0.71,187617861,7.38,0.19,85.88,38.63,5.99,0.77
6762.31,54.11,0.06,-0.17,5.97,0.68,786565061,5.73,0.5,95.01,46.73,5.64,0.14
54881.49,59.88,0.13,0.27,9.58,0.92,1168341581,5.2,0.08,87.33,39.06,6.38,0.52
44167.11,53.2,0.25,0.26,4.7,0.71,1456197672,7.15,0.15,70.25,38.36,5.53,0.81
37396.16,68.8,0.48,0.09,5.38,0.9,283833532,7.29,0.67,69.07,33.76,3.3,0.35
52377.82,70.25,0.97,0.31,3.25,0.63,243264416,7.17,0.61,66.36,43.91,2.06,0.09
50033.98,84.33,0.41,0.1,9.8,0.74,787074867,7.55,0.37,67.1,34.77,6.29,0.88
28774.85,83.74,0.52,-0.13,5.52,0.76,425766532,4.67,0.49,86.4,55.19,7.1,0.65
15839.27,63.89,0.68,0.48,4.69,0.6,306168077,5.96,0.61,56.8,47.82,5.14,0.48
57884.6,77.62,0.95,-0.1,3.71,0.92,1109793997,6.56,0.75,92.34,37.49,9.07,0.6
25087.74,53.92,0.85,0.07,7.97,0.88,1114932471,8.13,0.7,83.68,41.23,7.98,0.49
38947.54,66.4,0.98,0.11,13.8,0.52,536052709,8.28,0.12,80.45,36.17,6.56,0.66
7067.14,59.98,0.46,0.41,8.33,0.77,1371061857,6.66,0.29,43.67,42.32,8.39,0.01
12945.27,85.0,0.79,0.2,13.32,0.7,1445526555,6.01,0.14,90.82,28.87,2.62,0.84
48122.55,66.37,0.16,0.13,8.43,0.9,79966398,6.36,0.29,61.3,50.48,3.11,0.12
22902.43,50.53,0.36,0.03,2.16,0.77,606545863,5.49,0.0,86.94,59.33,2.34,0.43
20382.03,55.14,0.07,-0.09,2.54,0.73,529611621,5.8,0.07,74.83,24.41,9.5,0.34
33810.82,54.02,0.32,0.47,12.43,0.82,627807528,4.97,0.75,65.49,51.73,9.55,0.56
48596.17,65.15,0.22,0.17,16.64,0.97,1121818601,4.49,0.6,61.5,53.8,7.1,0.35
23085.83,71.22,0.81,0.25,12.56,0.96,1463796476,8.63,0.76,67.08,47.43,5.99,0.71
43625.22,70.86,0.35,0.13,16.42,0.51,259134575,5.62,0.91,64.75,58.72,3.5,0.37
18044.35,65.49,0.67,0.03,10.56,0.62,530697074,4.98,0.82,65.02,35.3,5.91,0.68
45971.62,54.49,0.63,0.08,3.99,0.61,1315602395,8.33,0.2,75.14,20.37,7.21,0.49
7191.41,79.14,0.52,0.07,9.08,0.58,1158973167,6.88,0.45,63.87,48.32,7.13,0.69
36203.11,78.51,0.89,0.48,7.16,0.73,355093882,6.11,0.06,95.3,39.48,3.86,0.1
2087.62,51.72,0.73,0.4,2.46,0.75,398320207,6.2,0.15,87.23,20.96,2.01,0.12
49446.29,81.24,0.45,0.06,16.06,0.51,25382921,6.1,0.86,99.37,49.99,9.5,0.69
7521.94,75.79,0.01,0.27,10.2,0.72,186075060,7.19,0.4,72.85,58.99,6.95,0.36
53516.22,53.92,0.24,0.14,14.17,0.92,1375521171,4.29,0.12,51.55,36.4,9.44,0.43
43460.17,79.16,0.41,0.35,4.14,0.99,1438296880,7.25,0.51,44.03,37.54,6.36,0.07
42800.22,81.36,0.48,0.43,3.24,0.58,149249163,5.3,0.86,97.97,29.92,4.08,0.92
42402.13,53.07,0.31,-0.09,17.53,0.75,672834739,4.88,0.93,95.22,34.31,5.53,0.68
36260.11,63.94,0.29,0.31,16.14,0.92,1189726065,8.21,0.61,49.56,28.04,4.45,0.53
33107.8,63.84,0.79,0.48,10.22,0.54,425659774,5.38,0.37,81.98,34.65,3.18,0.44
57185.78,65.33,0.74,0.03,13.38,0.66,496073581,6.14,0.88,52.01,27.99,5.47,0.89
37497.22,80.11,0.85,0.34,9.93,0.74,655543866,4.78,0.58,72.69,43.75,8.61,0.92
25100.76,74.22,0.45,0.12,6.77,0.63,918116571,5.24,0.6,71.38,23.63,9.11,0.12
36381.49,57.01,0.52,-0.11,14.65,0.59,315848029,7.24,0.19,67.88,46.62,4.18,0.81
34302.07,73.41,0.06,0.3,18.63,0.65,140214258,8.84,0.97,89.75,55.73,3.89,0.06
15001.54,75.93,0.43,0.22,2.55,0.54,1182194548,4.31,0.94,68.68,44.75,8.57,0.04
18756.51,57.24,0.5,0.18,7.12,0.9,883249096,8.98,0.56,86.32,25.74,6.95,0.12
49340.69,75.77,0.41,-0.14,14.4,0.82,583110251,6.44,0.58,53.23,55.07,3.67,0.33
17820.87,63.1,0.17,0.23,15.47,0.75,681115186,4.77,0.12,52.47,57.16,6.25,0.19
56369.26,84.81,0.18,0.23,16.02,0.59,570675392,6.41,0.81,53.42,29.01,2.95,0.98
56860.68,83.21,0.31,0.37,9.53,0.99,404159434,8.45,0.74,75.76,30.87,5.31,0.24
26472.24,76.95,0.62,-0.14,16.22,0.8,422247169,4.8,0.81,97.05,52.15,6.91,0.97
20720.54,59.73,0.1,-0.0,9.95,0.5,871176948,5.74,0.73,56.1,36.17,6.31,0.1
24973.06,64.31,0.4,0.34,3.72,0.86,1423420407,7.63,0.12,70.49,29.5,6.74,0.64
50426.02,54.66,0.31,0.14,2.4,0.68,388475337,4.66,0.16,52.6,50.33,6.22,0.14
24309.5,61.99,0.63,0.29,7.08,0.82,1155541359,5.12,0.44,71.23,20.92,5.71,0.5
57542.57,50.48,0.06,0.31,2.55,0.96,324565733,7.34,0.12,55.85,23.79,7.54,0.86
10482.22,76.3,0.86,0.3,7.46,0.59,915180247,7.89,0.03,61.21,59.95,6.75,0.29
28802.96,52.06,0.98,-0.0,19.84,0.67,744246392,8.13,0.87,76.12,21.56,2.17,0.77
43133.17,58.2,0.99,0.09,13.87,0.98,24817559,8.37,0.37,60.02,36.51,7.22,0.69
