Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,fit_intercept,max_depth,min_samples_split,n_estimators,train_shape,val_shape,test_mse,test_r2,val_mse,val_r2
2025-03-24 22:38:26,1.7s,b7769ec96cf140139aa0b971d1aa1999,RandomForest_ne_100_md_5,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,evoheyax,FINISHED,,5,,100,"(2400, 21)","(800, 21)",,,2.071704388291430,-0.0016507055967744900
2025-03-24 22:47:28,0.9s,dc82e44a7efb47e18875f00973dbb708,LinearRegression,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,evoheyax,FINISHED,TRUE,,,,"(2400, 13)","(800, 13)",2.038267637202460,-0.009742728521624060,2.073340197771900,-0.002441604978751900
2025-03-24 22:38:57,0.9s,ba73aad2ac194b44ac38665d234918b0,LinearRegression,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,evoheyax,FINISHED,TRUE,,,,"(2400, 13)","(800, 13)",,,2.073340197771900,-0.002441604978751900
2025-03-24 22:39:32,1.4s,047638d326aa4f95975a119ffab01cdd,RandomForest_ne_100_md_5,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,evoheyax,FINISHED,,5,,100,"(2400, 13)","(800, 13)",,,2.0761964075790100,-0.0038225570995222800
2025-03-24 22:39:41,1.4s,cca75651172d4c6689438f011745efd8,RandomForest_ne_100_md_5,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,evoheyax,FINISHED,,5,,100,"(2400, 13)","(800, 13)",,,2.0762880298565000,-0.003866855658434700
2025-03-24 22:39:29,1.4s,66ccbb930837490c8bffd4c75972ab9c,RandomForest_ne_100_md_5,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,evoheyax,FINISHED,,5,,100,"(2400, 13)","(800, 13)",,,2.07646497521502,-0.003952407170618290
2025-03-24 22:38:38,1.7s,24fd417b4fbc44c291ef6acf2da4aeb9,RandomForest_ne_100_md_5,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,evoheyax,FINISHED,,5,,100,"(2400, 21)","(800, 21)",,,2.0777529081423800,-0.004575111323173790
2025-03-24 22:39:47,1.3s,fefb82452f324e62a32d05f975ddac80,RandomForest_ne_100_md_5,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,evoheyax,FINISHED,,5,,100,"(2400, 13)","(800, 13)",,,2.078444458758070,-0.00490946991510155
2025-03-24 22:38:54,1.7s,03391e351dbf4a35a40cf88c10d24204,RandomForest_ne_100_md_5,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,evoheyax,FINISHED,,5,,100,"(2400, 21)","(800, 21)",,,2.0785808420148200,-0.0049754100106682600
2025-03-24 22:38:47,1.7s,d503d258c0824cd192e2389f0cac3d6e,RandomForest_ne_100_md_5,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,evoheyax,FINISHED,,5,,100,"(2400, 21)","(800, 21)",,,2.078629788139340,-0.004999075027957820
2025-03-24 22:38:31,1.7s,606f5a09165043aaba887ed59a7f8e66,RandomForest_ne_100_md_5,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,evoheyax,FINISHED,,5,,100,"(2400, 21)","(800, 21)",,,2.0790746818287200,-0.005214177182685240
2025-03-24 22:38:28,1.6s,83cbb31ff7f74c2b8534b407c499e48a,RandomForest_ne_100_md_5,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,evoheyax,FINISHED,,5,,100,"(2400, 21)","(800, 21)",,,2.0792532953247300,-0.005300535224555430
2025-03-24 22:39:34,1.3s,c597be133edb442c97b0a3d51637b6c8,RandomForest_ne_100_md_5,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,evoheyax,FINISHED,,5,,100,"(2400, 13)","(800, 13)",,,2.0792851191757900,-0.0053159217744185300
2025-03-24 22:39:26,1.4s,e0760277edf64d3c81abb9c3de638f72,RandomForest_ne_100_md_5,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,evoheyax,FINISHED,,5,,100,"(2400, 13)","(800, 13)",,,2.0803842553647400,-0.005847344377674540
2025-03-24 22:39:27,1.4s,b1809567806140779d352b547dc0f58e,RandomForest_ne_100_md_5,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,evoheyax,FINISHED,,5,,100,"(2400, 13)","(800, 13)",,,2.0804858213407300,-0.005896450626660780
2025-03-24 22:38:39,1.6s,588159fc1f124ba08820d0cf1da47d8d,RandomForest_ne_100_md_5,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,evoheyax,FINISHED,,5,,100,"(2400, 21)","(800, 21)",,,2.080734378650340,-0.006016625882338870
